BCUT2D_LOGPLOW,PEOE_VSA11,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,SMR_VSA10,SMR_VSA2,TPSA,NumAliphaticCarbocycles,NumAromaticCarbocycles,Value
-2.0356998,15.597501,13.401775,0.0,0.0,21.539299,0.0,72.2,0.0,2.0,4.99
-2.3027728,0.0,13.139892,0.0,0.0,50.73329,0.0,63.24,0.0,2.0,6.77
-2.444185,5.647177,9.499376,5.098682,0.0,5.647177,0.0,58.67,0.0,1.0,7.1
-2.3206387,11.499023,14.358372,0.0,12.407033,46.416145,0.0,79.74,0.0,2.0,8.52
-2.3062172,0.0,13.139892,0.0,0.0,44.819736,0.0,89.26,0.0,2.0,5.49
-2.1504269,5.647177,9.499376,16.435467,0.0,16.983963,0.0,42.66,0.0,1.0,7.64
-1.9971648,5.817863,9.499376,5.098682,0.0,17.02195,0.0,62.45,0.0,1.0,4.01
-2.3025768,0.0,13.139892,0.0,0.0,39.13235,0.0,63.24,0.0,2.0,6.28
-2.0522904,0.0,4.9839787,0.0,0.0,22.56381,0.0,75.36,0.0,3.0,6.49
-2.320639,11.499023,14.358372,0.0,0.0,22.408175,0.0,59.51,0.0,2.0,7.19
-2.0549757,11.499023,14.358372,0.0,0.0,34.009113,0.0,65.5,0.0,2.0,7.4
-2.3032217,0.0,13.139892,0.0,0.0,39.13235,0.0,72.47,0.0,2.0,6.04
-2.3030465,0.0,13.139892,0.0,0.0,50.73329,0.0,63.24,0.0,2.0,6.36
-2.3033895,0.0,13.139892,0.0,0.0,70.99224,0.0,63.24,0.0,2.0,6.04
